lat,lon,name,epidemic,suicide,combat,homicide,floods,population,wardeaths
40.463667,-3.74922,Spain,2,3575,0.441,1020,712,45954106,203
7.873054,80.771797,Sri Lanka,92,5370,4.951,2808,943,19817000,981
17.357822,-62.782998,St. Kitts and Nevis,0,0,0,10,0,50332,0
13.909444,-60.978893,St. Lucia,0,12,0,45,0,169220,0
12.984305,-61.287228,St. Vincent and the Grenadines,0,10,0,35,3,109165,0
12.862807,30.217636,Sudan,9919,2795,102.77,20309,682,32955496,33868
3.919305,-56.027783,Suriname,0,87,0,74,5,515148,0
-26.522503,31.465866,Swaziland,142,86,0,299,0,1158897,0
60.128161,18.643501,Sweden,0,1239,0,203,11,9219637,0
46.818188,8.227512,Switzerland,0,1333,0,134,10,7647675,0
34.802075,38.996815,Syria,88,97,0,944,6,20325443,0
38.861034,71.276093,Tajikistan,171,139,1.6516,539,1492,7309728,121
-6.369028,34.888822,Tanzania,6661,2861,0.3992,18491,580,43270144,173
15.870032,100.992541,Thailand,212,6400,0,10253,2669,66545760,0
-8.874217,125.727539,Timor-Leste,0,72,0,249,1,1078110,0
8.619543,0.824782,Togo,1019,252,0,1335,50,6161796,0
-21.178986,-175.198242,Tonga,0,3,0,2,0,103005,0
10.691803,-61.222503,Trinidad and Tobago,0,198,0,295,5,1315372,0
33.886917,9.537499,Tunisia,0,314,0,352,316,10407336,0
38.963745,35.243322,Turkey,0,2627,0,4501,558,70440032,0
38.969719,59.556278,Turkmenistan,0,516,0,909,0,4935762,0
-7.109535,177.64933,Tuvalu,0,1,0,0,0,10340,0
1.373333,32.290275,Uganda,1375,1922,36.457,12258,228,31663896,11544
48.379433,31.16558,Ukraine,275,12713,0.0411,13210,76,46258200,19
23.4241,53.8478,United Arab Emirates,,70,0,48,0,6894278,0
55.378051,-3.435973,United Kingdom,71,4708,0.0745,1838,46,61806995,46
37.09024,-95.712891,United States,317,33278,0.338,33373,1409,304093966,1028
-32.522779,-55.765835,Uruguay,0,554,0,350,3,3350824,0
41.377491,64.585262,Uzbekistan,40,1559,0.16634,1872,0,27302800,45
-15.376706,166.959158,Vanuatu,0,6,0,5,0,225340,0
6.42375,-66.58973,Venezuela,162,1386,0,0,30338,28141701,0
14.058324,108.277199,Vietnam,584,8365,0.0375,6538,4675,85118700,32
15.552727,48.516388,Yemen,0,1075,3.603,924,872,22356391,806
-13.1339,27.8493,Zambia,0,1075,3.603,924,31,13082517,471
-19.015438,29.154857,Zimbabwe,3514,1242,0.50957,5730,148,13558469,69
